qa_review_id,alert_id,alert_date,rule_id,rule_name,analyst_id,qa_reviewer_id,risk_score,review_minutes,alert_age_days,disposition,qa_result,qa_issue
QA0001,ALT01830,2026-06-27,R006,P2P Funnel Activity,ANL11,ANL12,71.0,54,25,Close - False Positive,Pass,None
QA0002,ALT02072,2026-01-20,R006,P2P Funnel Activity,ANL07,ANL12,53.0,51,12,Close - Explained Activity,Pass,None
QA0003,ALT02817,2026-07-27,R001,Structuring / Cash Activity,ANL03,ANL12,64.0,45,1,Close - False Positive,Pass,None
QA0004,ALT02810,2026-05-10,R002,High-Risk Jurisdiction Wire,ANL07,ANL12,39.0,41,7,Close - False Positive,Pass,None
QA0005,ALT00626,2026-02-06,R004,Unusual Volume Increase,ANL06,ANL12,39.0,43,10,Close - False Positive,Fail,Incomplete Transaction Review
QA0006,ALT00253,2026-02-16,R004,Unusual Volume Increase,ANL04,ANL12,60.0,31,11,Close - Explained Activity,Pass,None
QA0007,ALT01215,2026-06-07,R005,High-Value Wire,ANL12,ANL12,55.0,30,4,Close - Explained Activity,Pass,None
QA0008,ALT02350,2026-07-08,R005,High-Value Wire,ANL04,ANL12,35.0,47,9,Close - False Positive,Pass,None
QA0009,ALT02397,2026-03-16,R001,Structuring / Cash Activity,ANL01,ANL12,71.0,35,11,Close - Explained Activity,Pass,None
QA0010,ALT00538,2026-04-13,R002,High-Risk Jurisdiction Wire,ANL02,ANL12,47.0,32,16,Close - False Positive,Pass,None
QA0011,ALT02784,2026-03-15,R005,High-Value Wire,ANL08,ANL12,70.0,42,6,Close - False Positive,Fail,KYC Context Missing
QA0012,ALT03156,2026-05-05,R003,Rapid Movement of Funds,ANL05,ANL12,64.0,37,13,Close - False Positive,Pass,None
QA0013,ALT00247,2026-06-14,R004,Unusual Volume Increase,ANL09,ANL12,85.0,43,7,Escalate to Case,Pass,None
QA0014,ALT01431,2026-07-18,R004,Unusual Volume Increase,ANL02,ANL12,70.0,35,1,Close - False Positive,Pass,None
QA0015,ALT00060,2026-02-28,R003,Rapid Movement of Funds,ANL01,ANL12,52.0,33,2,Close - False Positive,Pass,None
QA0016,ALT02423,2026-09-23,R005,High-Value Wire,ANL02,ANL12,64.0,45,28,Escalate to Case,Pass,None
QA0017,ALT00216,2026-04-16,R004,Unusual Volume Increase,ANL07,ANL12,46.0,44,11,Close - False Positive,Pass,None
QA0018,ALT02440,2026-01-27,R006,P2P Funnel Activity,ANL08,ANL12,82.0,40,3,Escalate to Case,Pass,None
QA0019,ALT01959,2026-04-12,R001,Structuring / Cash Activity,ANL08,ANL12,60.0,41,12,Close - False Positive,Pass,None
QA0020,ALT00742,2026-05-14,R007,Cash Intensive Business,ANL12,ANL12,71.0,70,5,Close - False Positive,Pass,None
QA0021,ALT01243,2026-05-12,R002,High-Risk Jurisdiction Wire,ANL03,ANL12,48.0,47,7,Close - Explained Activity,Fail,Insufficient Narrative
QA0022,ALT03377,2026-07-19,R003,Rapid Movement of Funds,ANL05,ANL12,62.0,32,16,Escalate to Case,Fail,Insufficient Narrative
QA0023,ALT03488,2026-02-06,R005,High-Value Wire,ANL07,ANL12,32.0,35,5,Close - Explained Activity,Pass,None
QA0024,ALT01769,2026-08-08,R008,Dormant Account Reactivation,ANL04,ANL12,70.0,29,13,Close - False Positive,Pass,None
QA0025,ALT02401,2026-08-06,R008,Dormant Account Reactivation,ANL08,ANL12,52.0,42,13,Close - False Positive,Pass,None
QA0026,ALT02652,2026-06-18,R002,High-Risk Jurisdiction Wire,ANL04,ANL12,81.0,39,6,Escalate to Case,Pass,None
QA0027,ALT01767,2026-06-25,R006,P2P Funnel Activity,ANL11,ANL12,56.0,23,5,Close - False Positive,Pass,None
QA0028,ALT01225,2026-08-30,R002,High-Risk Jurisdiction Wire,ANL04,ANL12,89.0,19,2,Close - False Positive,Pass,None
QA0029,ALT03298,2026-08-02,R002,High-Risk Jurisdiction Wire,ANL12,ANL12,64.0,30,6,Close - False Positive,Pass,None
QA0030,ALT03084,2026-06-09,R003,Rapid Movement of Funds,ANL01,ANL12,54.0,28,2,Close - Explained Activity,Pass,None
QA0031,ALT01533,2026-05-31,R006,P2P Funnel Activity,ANL04,ANL12,63.0,46,12,Escalate to Case,Fail,Insufficient Narrative
QA0032,ALT01570,2026-08-13,R003,Rapid Movement of Funds,ANL03,ANL12,47.0,59,5,Escalate to Case,Pass,None
QA0033,ALT00803,2026-06-06,R001,Structuring / Cash Activity,ANL07,ANL12,67.0,18,13,Close - False Positive,Pass,None
QA0034,ALT00223,2026-04-07,R008,Dormant Account Reactivation,ANL02,ANL12,71.0,40,4,Escalate to Case,Pass,None
QA0035,ALT02471,2026-09-22,R005,High-Value Wire,ANL11,ANL12,79.0,34,9,Escalate to Case,Pass,None
QA0036,ALT00597,2026-08-22,R005,High-Value Wire,ANL05,ANL12,34.0,51,11,Escalate to Case,Pass,None
QA0037,ALT01917,2026-06-06,R008,Dormant Account Reactivation,ANL11,ANL12,69.0,28,7,Close - False Positive,Pass,None
QA0038,ALT03517,2026-01-26,R004,Unusual Volume Increase,ANL09,ANL12,49.0,38,1,Close - False Positive,Fail,Escalation Rationale Weak
QA0039,ALT03001,2026-06-07,R004,Unusual Volume Increase,ANL02,ANL12,86.0,38,5,Close - False Positive,Pass,None
QA0040,ALT00534,2026-03-16,R002,High-Risk Jurisdiction Wire,ANL07,ANL12,85.0,42,4,Close - Explained Activity,Pass,None
