alert_id,alert_date,rule_id,analyst_id,risk_score,alert_amount,alert_age_days,review_minutes,disposition,sar_flag,rule_name,channel_focus,false_positive_flag,escalated_flag,month
ALT00001,2026-08-25,R001,ANL04,96.0,7578.03,18,36,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-08
ALT00002,2026-06-05,R003,ANL07,52.0,1326.59,10,48,Escalate to Case,1,Rapid Movement of Funds,ACH/P2P/Wire,0,1,2026-06
ALT00003,2026-09-26,R001,ANL04,58.0,17204.89,10,19,Escalate to Case,0,Structuring / Cash Activity,Cash,0,1,2026-09
ALT00004,2026-03-30,R001,ANL02,45.0,33731.84,17,34,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-03
ALT00005,2026-01-26,R001,ANL08,48.0,16616.52,1,19,Escalate to Case,0,Structuring / Cash Activity,Cash,0,1,2026-01
ALT00006,2026-09-21,R001,ANL11,74.0,18471.79,4,29,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-09
ALT00007,2026-06-15,R001,ANL12,54.0,15069.16,3,56,Escalate to Case,0,Structuring / Cash Activity,Cash,0,1,2026-06
ALT00008,2026-04-19,R006,ANL06,47.0,62049.5,4,50,Close - Explained Activity,0,P2P Funnel Activity,P2P,0,0,2026-04
ALT00009,2026-08-16,R001,ANL03,91.0,43066.51,3,57,Close - Explained Activity,0,Structuring / Cash Activity,Cash,0,0,2026-08
ALT00010,2026-03-19,R004,ANL09,43.0,8135.38,34,30,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-03
ALT00011,2026-04-12,R008,ANL10,76.0,11984.48,10,32,Close - Explained Activity,0,Dormant Account Reactivation,All,0,0,2026-04
ALT00012,2026-08-23,R002,ANL08,61.0,3073.33,11,39,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-08
ALT00013,2026-02-18,R003,ANL06,58.0,21665.96,3,19,Close - False Positive,0,Rapid Movement of Funds,ACH/P2P/Wire,1,0,2026-02
ALT00014,2026-08-20,R001,ANL07,69.0,37422.5,12,36,Escalate to Case,0,Structuring / Cash Activity,Cash,0,1,2026-08
ALT00015,2026-03-12,R002,ANL02,28.0,62887.84,6,46,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-03
ALT00016,2026-02-05,R002,ANL11,34.0,3821.31,8,36,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-02
ALT00017,2026-03-17,R001,ANL03,53.0,85968.41,10,32,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-03
ALT00018,2026-02-10,R003,ANL12,26.0,20528.58,2,25,Close - False Positive,0,Rapid Movement of Funds,ACH/P2P/Wire,1,0,2026-02
ALT00019,2026-07-24,R008,ANL12,44.0,29584.9,7,16,Escalate to Case,0,Dormant Account Reactivation,All,0,1,2026-07
ALT00020,2026-03-09,R001,ANL11,77.0,26700.16,1,16,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-03
ALT00021,2026-01-21,R008,ANL01,51.0,78652.92,5,40,Close - False Positive,0,Dormant Account Reactivation,All,1,0,2026-01
ALT00022,2026-04-27,R001,ANL12,51.0,14899.0,1,11,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-04
ALT00023,2026-08-26,R001,ANL12,71.0,52422.49,11,28,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-08
ALT00024,2026-09-06,R001,ANL08,47.0,144485.03,7,61,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-09
ALT00025,2026-02-21,R008,ANL12,89.0,26533.55,11,39,Close - False Positive,0,Dormant Account Reactivation,All,1,0,2026-02
ALT00026,2026-02-01,R002,ANL09,52.0,35481.11,4,38,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-02
ALT00027,2026-07-23,R001,ANL01,51.0,8493.62,3,9,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-07
ALT00028,2026-01-10,R007,ANL02,49.0,12192.11,3,24,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-01
ALT00029,2026-02-26,R004,ANL05,100.0,5542.36,17,52,Escalate to Case,0,Unusual Volume Increase,All,0,1,2026-02
ALT00030,2026-01-25,R006,ANL05,62.0,9750.73,1,8,Escalate to Case,1,P2P Funnel Activity,P2P,0,1,2026-01
ALT00031,2026-08-15,R001,ANL11,68.0,68711.63,0,42,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-08
ALT00032,2026-06-09,R006,ANL09,66.0,41183.93,6,57,Close - False Positive,0,P2P Funnel Activity,P2P,1,0,2026-06
ALT00033,2026-08-19,R005,ANL12,83.0,6874.0,9,31,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-08
ALT00034,2026-04-16,R003,ANL06,53.0,8218.23,27,47,Close - Explained Activity,0,Rapid Movement of Funds,ACH/P2P/Wire,0,0,2026-04
ALT00035,2026-03-26,R005,ANL07,34.0,10357.24,13,48,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-03
ALT00036,2026-03-06,R002,ANL02,80.0,30227.66,10,42,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-03
ALT00037,2026-04-21,R005,ANL02,5.0,28941.1,8,31,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-04
ALT00038,2026-04-28,R002,ANL03,59.0,27128.03,8,52,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-04
ALT00039,2026-06-15,R005,ANL08,51.0,6202.92,15,35,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-06
ALT00040,2026-06-24,R006,ANL10,42.0,18610.98,6,41,Close - False Positive,0,P2P Funnel Activity,P2P,1,0,2026-06
