analyst_id,analyst_name,team,experience_level
ANL01,Analyst 01,TM Operations A,Analyst I
ANL02,Analyst 02,TM Operations A,Analyst I
ANL03,Analyst 03,TM Operations A,Analyst II
ANL04,Analyst 04,TM Operations B,Senior Analyst
ANL05,Analyst 05,TM Operations A,Analyst II
ANL06,Analyst 06,TM Operations A,Analyst II
ANL07,Analyst 07,TM Operations B,Analyst II
ANL08,Analyst 08,TM Operations B,Analyst II
ANL09,Analyst 09,TM Operations B,Analyst I
ANL10,Analyst 10,TM Operations B,Analyst I
ANL11,Analyst 11,TM Operations A,Analyst I
ANL12,Analyst 12,TM Operations B,Senior Analyst
